Terminal,Station,Latitude,Longitude,Nb docks
30000,100 Main Street SE,44.984892,-93.256551,27
30001,25th Street & 33rd. Ave. S.,44.95734,-93.22374,15
30002,Augsburg College,44.96622,-93.2384,15
30003,Plymouth Ave N. &  N. Oliver Ave,44.991412,-93.306269,19
30004,11th Street & Hennepin,44.97534,-93.27869,23
30005,Hennepin & Central Avenue NE,44.98889,-93.25392,15
30006,YWCA Downtown,44.972217,-93.276435,23
30007,9th Street & 4th Ave.,44.97265,-93.26872,19
30008,Midtown Exchange,44.94851,-93.2602,19
30009,4th Street & 13th Ave. SE,44.98102,-93.23746,15
30010,Hennepin & Laurel Ave.,44.97391,-93.28305,15
30011,North 2nd Street & 4th Ave. N,44.986087,-93.272459,19
30012,Mpls. Convention Center,44.970041,-93.275861,19
30013,Lake Street & Lyndale,44.94964,-93.28827,19
30014,25th Ave. S & Franklin,44.96293,-93.23604,15
30015,Washington & Cedar,44.97344,-93.24748,20
30016,Walker Art Center,44.96746,-93.28848,17
30017,22nd Street & Lyndale,44.960744,-93.28815,19
30018,MCAD,44.957214,-93.274981,17
30019,Social Sciences,44.971359,-93.243754,29
30020,YWCA Uptown,44.95131,-93.29853,19
30021,Washington & 2nd Ave. N,44.98383,-93.27099,19
30022,26th Street & Lyndale,44.95548,-93.28775,15
30023,Chicago & 27th Street,44.95355,-93.26259,15
30024,Kolthoff Hall,44.97381,-93.23649,39
30025,Williamson Hall,44.977406,-93.234911,25
30026,Mayo Memorial Building,44.972305,-93.231976,25
30027,4th Street S & 19th Ave.,44.97003,-93.24519,15
30028,Washington & Marquette,44.98112,-93.26634,19
30029,5th Street & 3rd Ave. S,44.976602,-93.266701,27
30030,South 2nd Street & 3rd Ave. S,44.980926,-93.26285,23
30031,University Ave. & 23rd Ave. SE,44.974876,-93.224383,19
30032,4th Street & 17th Ave. SE,44.97913,-93.23189,15
30033,Franklin & 11th Ave.,44.96251,-93.2583,15
30034,Oak Street Ramp,44.97202,-93.22697,23
30035,Loring Park,44.9715,-93.284927,15
30036,Downtown Library,44.980199,-93.269217,31
30037,Currie Park,44.969225,-93.251136,15
30038,19th Ave. S & Franklin ,44.96312,-93.2456,15
30039,Park Ave. S & 5th Street,44.97491,-93.26078,19
30040,11th Street & Marquette,44.97265,-93.27405,15
30041,Franklin & Portland,44.962846,-93.267526,15
30042,IDS Center,44.975641,-93.272185,23
30043,Lake Street & Humboldt,44.94865,-93.30077,19
30044,26th Street & Hennepin,44.9554734,-93.29714298,15
30045,Franklin & 28th Ave. ,44.962679,-93.230493,19
30046,Washington Ave. S & 9th Ave.,44.97654,-93.25535,19
30047,University & Bank Street SE,44.98717,-93.25576,19
30048,Franklin Ave. & Colfax,44.962645,-93.291832,15
30049,Blaisdell Ave. S & W 26th Street,44.955077,-93.279738,15
30050,3rd Street S & 2nd Ave. S,44.97974,-93.26599,27
30051,7th Street & 4th Ave. S,44.97497,-93.266684,15
30052,Nicollet Mall and Grant Street,44.96995,-93.278133,15
30053,2nd Ave. N & N 6th St,44.980536,-93.275626,23
30054,5th Ave. S & East 27th Street,44.954096,-93.26907,15
30055,Hennepin Ave. & 4th Street,44.98017,-93.27152,19
30056,5th Ave N & 4th Street N,44.98439,-93.277316,19
30057,McNamara Center,44.9743,-93.22854,19
30058,Elliot Hall,44.97685,-93.23818,15
30059,Glenwood Ave & N Morgan Ave.,44.9807,-93.30441,15
30060,Nicollet & Franklin,44.96342,-93.277939,23
30061,Emerson Ave. S & 24th Street,44.959629,-93.294317,11
30062,International Market Square,44.979396,-93.288464,19
30063,Elliot Park,44.970553,-93.26079,15
30064,28th Street & Nicollet Ave. S,44.9519,-93.27831,15
30065,Washington Ave. N & 12th Ave. N,44.990764,-93.281058,15
30066,Plymouth Ave. N & Fremont,44.992075,-93.294907,15
30067,Bryant Ave. N & West Broadway,44.999341,-93.290941,15
30068,North Commons Park,44.998685,-93.302251,15
30069,Farview Park,45.005994,-93.287559,15
30070,West Broadway & Logan Ave. N,45.002448,-93.305857,15
30071,North Regional Library,45.012998,-93.296761,15
30072,Lowry Ave. N & Penn Ave.,45.013318,-93.307798,15
30073,27th Ave. SE & Yale Ave.,44.96657,-93.22046,15
30074,27th Ave SE & University Ave.,44.97259,-93.218919,15
30075,Curfew Street & Ellis Ave.,44.96616,-93.20525,15
30076,Raymond Ave. & Ellis Avenue,44.96626,-93.19745,15
30077,Fairview Ave. & University Ave.,44.95665,-93.17706,15
30078,Hamline University,44.96311,-93.16383,15
30079,Sherburne Ave. & Snelling Ave. N.,44.956624,-93.16734,15
30080,Midtown YWCA,44.94823,-93.24054,15
30081,East Lake Street & 39th Ave. S,44.948308,-93.21705,15
30083,Merriam Park Library,44.94885,-93.1773,15
30084,University of St. Thomas,44.940233,-93.188723,15
30085,Grand Ave. & Fairview Ave.,44.940513,-93.177093,15
30086,Macalester College,44.940218,-93.17022,15
30087,Grant Street & Portland Ave.,44.96954,-93.2669,15
30088,6th Ave. SE & University Ave.,44.983281,-93.24812,15
30089,Lake Calhoun Center,44.94885,-93.31759,23
30090,Portland Ave. & Washington Ave.,44.978068,-93.26023,19
30091,Gateway Park,44.9825943,-93.2675139,15
30092,2nd Street N & 8th Ave. N,44.989166,-93.27651,19
30093,West 15th Street & Willow,44.967803,-93.283021,15
30094,West 32nd Street & Bryant Ave. S,44.94478,-93.29038,15
30095,West 36th Street & Bryant Ave. S,44.93775,-93.29122,15
30096,University Ave. NE & 12th Ave. NE,44.999894,-93.26296,15
30097,Nicollet Ave. & Lake Street,44.947797,-93.278291,15
30098,Marshall Street NE & 8th Ave. NE,44.995348,-93.266854,15
30099,Kowalski's Market,44.94016,-93.1529,15
30100,Grand Ave. & Lexington Ave.,44.940127,-93.146957,15
30101,N Milton Street & Summit Ave,44.941599,-93.138832,15
30102,Marshall Avenue & Syndicate Street,44.948634,-93.154065,15
30103,Hague Ave. & Dale Street,44.945736,-93.12661,15
30104,Logan Park,44.99882,-93.25276,15
30105,Wilder Foundation,44.95498,-93.14795,15
30106,Dale Street & Grand Ave.,44.939779,-93.126261,15
30107,Dale Street N. & University Ave.,44.956066,-93.126088,15
30108,Carter Ave. & Como Ave.,44.981343,-93.193977,15
30109,Como Ave. SE & 29th Ave. SE,44.987934,-93.212892,15
30110,15th Ave. SE & Como Ave. SE,44.987517,-93.230469,15
30111,St. Paul Police Western District,44.953527,-93.156984,15
30112,Central Ave. NE & 22nd Ave NE,45.00994,-93.247114,15
30113,U of M St. Paul Student Center,44.984527,-93.185029,15
30114,Snelling Ave. N & Laurel Ave.,44.944828,-93.16713,15
30115,U of M St. Paul Campus,44.980558,-93.181384,15
30116,Minnesota History Center,44.949053,-93.10673,15
30117,10th Street E & Cedar Street,44.950396,-93.098102,15
30118,Jackson Street & 7th Place,44.949426,-93.091013,19
30119,Union Depot,44.948399,-93.086584,23
30120,Kellogg Blvd E & Jackson Street,44.946191,-93.088802,19
30121,7th Street E & Wacouta Street,44.950766,-93.089245,15
30122,Saint Paul College,44.948317,-93.110544,19
30123,Minnesota Dept. of Transportation,44.95385,-93.10445,19
30124,Kellogg Blvd W & Smith Ave,44.945173,-93.103863,23
30125,Lafayette Road & Grove Street,44.956028,-93.08465,23
30126,5th Street E & Minnesota Street N,44.94683,-93.09231,23
30127,Landmark Plaza,44.945267,-93.096114,23
30128,Wells Fargo Place,44.94813,-93.09663,19
30129,State Street & Cesar Chavez Street,44.93002,-93.0779,19
30130,Livingston Avenue Riverfront,44.942438,-93.087507,19
30131,Harriet Island,44.93768,-93.094532,23
30132,Kellogg Blvd & Wabasha Street,44.943846,-93.09227,19
30133,Wabasha Street S & Cesar Chavez Street,44.934503,-93.084497,15
30134,Upper Landing,44.936451,-93.103595,23
30135,7th Street W & Grand Ave,44.94144,-93.10624,19
30136,Science Museum of Minnesota,44.942846,-93.097836,19
30137,Selby Ave & Virginia Street,44.9467,-93.1151,19
30138,N  Western Ave & Central Ave,44.9525,-93.11599,15
30139,E 14th Street & N Robert Street ,44.954697,-93.097817,25
30140,N Marion Street & University Ave W,44.95476,-93.10955,15
30141,N Robert Street & E 10th Street,44.951132,-93.094545,19
30142,9th Street N & Hawthorne Ave,44.977128,-93.277505,25
30143,Chicago Ave & Washington Ave S,44.977521,-93.256736,19
30144,N 4th Ave & W River Road,44.988461,-93.269087,15
30145,Minneapolis Park & Recreation Board,45.00095,-93.277037,15
